C-4891;28-10-2021;CF412;594;642;88;37;0:20;;;;;;X;;ADALBERTO;28-10-2021;16014;Salgado;0;comodato;;
C-4892;28-10-2021;CF411;597;643;80;32;0:20;;;;;;X;;ADALBERTO;28-10-2021;16014;Salgado;0;comodato;;
C-4898;28-10-2021;CF410;591;648;80;24;0:20;;;;;;X;;ADALBERTO;28-10-2021;16014;Salgado;0;comodato;;
C-4941;28-10-2021;CF413;590;637;82;33;0:20;;;;;;;;ADALBERTO;28-10-2021;16014;Salgado;0;comodato;;
C-4694;28-10-2021;TN3492;660;865;250;42;0:20;;;;;;;KATUN;ADALBERTO;17-11-2021;16115;Cetel;0;comodato;;
C-4940;28-10-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;17-11-2021;16115;Cetel;0;comodato;;
C-4809;28-10-2021;285A;600;600;0;0;0:05;;;;;;X;OK;MARCELO;24-11-2021;16253;Nortis;0;comodato;;
C-3109;28-10-2021;285A;597;630;110;19;0:10;X;;;;;X;;MARCELO;25-11-2021;16260;UBB;40;;;
C-4105;28-10-2021;285A;617;617;0;0;0:10;X;;;;;X;;MARCELO;15-03-2022;16959;Pelegrino;0;comodato;;
C-4792;28-10-2021;285A;472;615;110;10;0:10;;;;;;X;LIMPEZA;MARCELO;03-11-2021;15647;Nortis;0;comodato;;
C-4071;29-10-2021;285A;607;607;0;0;0:05;;;;;;X;OK;MARCELO;24-11-2021;16253;Nortis;0;comodato;;
C-4793;29-10-2021;285A;474;585;110;9;0:10;;;;;;X;LIMPEZA;MARCELO;25-11-2021;16260;UBB;40;;;
C-1968;29-10-2021;285A;547;593;111;6;0:10;;X;;;X;X;;MARCELO;;;;;;;
C-4735;29-10-2021;285A;577;616;89;7;0:10;;;;;;X;LIMPEZA;MARCELO;;;;;;;
C-4655;29-10-2021;285A;482;569;113;19;0:10;;;;;;X;LIMPEZA;MARCELO;03-11-2021;15647;Nortis;0;comodato;;
C-4608;30-10-2021;TN3492;683;683;0;0;0:05;;;;;;;OK;ADALBERTO;03-11-2021;16100;Dialli;0;comodato;;
C-4693;30-10-2021;TN3492;635;635;0;0;0:15;;;;;;;LIMPEZA;ADALBERTO;03-11-2021;16100;Dialli;0;comodato;;
C-4237;30-10-2021;DR3440;0;0;0;0;0:10;X;;;;;;C.720;ADALBERTO;03-11-2021;16100;Cilindro;0;comodato;;
C-4136;30-10-2021;TN3492;577;778;222;20;0:20;;;;;;;TT6880;ADALBERTO;03-11-2021;15955;Segmed;0;comodato;;
C-4194;30-10-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;03-11-2021;15955;Segmed;0;comodato;;
C-4706;30-10-2021;TN3492;636;636;0;0;0:15;;;;;;;LIMPEZA;ADALBERTO;;;;;;;
C-4673;30-10-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;;;;;;;
C-3757;30-10-2021;TN3492;534;587;53;0;0:15;;;;;;;PO6450;ADALBERTO;24-11-2021;16253;Nortis;0;comodato;;
C-4321;30-10-2021;DR3440;0;0;0;0;0:10;X;;;;;;C-520;ADALBERTO;24-11-2021;16253;Nortis;0;comodato;;
C-3762;30-10-2021;TN3492;502;615;112;0;0:10;;;;;;;PO6450;ADALBERTO;26-11-2021;16200;Toyopar;0;comodato;;
C-4296;30-10-2021;DR3440;0;0;0;0;0:10;X;;;;;;C-520;ADALBERTO;26-11-2021;16200;Toyopar;0;comodato;;
C-4270;30-10-2021;TN3492;565;774;208;0;0:20;;;;;;;COM FUNDO;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-4597;30-10-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-3475;30-10-2021;TN3392;551;549;0;0;0:15;;;;;;;LIMPEZA;ADALBERTO;03-11-2021;16100;Dialli;0;comodato;;
C-4005;30-10-2021;TN3392;583;583;0;0;0:15;;;;;;;LAMINA DOS. SUJA;ADALBERTO;27-10-2021;16100;Dialli;0;comodato;;
C-4190;30-10-2021;3392C;577;577;0;0;0:20;X;;;;;;C580;ADALBERTO;07-07-2022;1;;;;;
C-4341;01-11-2021;D104;623;682;97;10;0:10;;;;;;;LIMPEZA;MARCELO;08-11-2021;16143;Ferro Velho ;0;garantia;;
C-4502;01-11-2021;D104;661;702;72;7;0:10;;;;;X;;;MARCELO;06-01-2022;16462;Manhu;50; ;;
C-4942;01-11-2021;285A;472;597;110;19;0:10;;;;;;X;LIMPEZA;MARCELO;24-11-2021;16249;Rosinda;50;;;
C-4943;01-11-2021;285A;471;584;110;16;0:10;;;;;;X;LIMPEZA;MARCELO;03-11-2021;15955;Segmed;0;comodato;;
C-4944;01-11-2021;285A;488;597;111;15;0:10;;;;;;X;LIMPEZA;MARCELO;;;;;;;
C-4639;01-11-2021;TN2370;519;587;132;0;;;;;;;;;Marcelo;20-12-2021;16398;Guiomar Moreira;0;comodato;;
C-3835;01-11-2021;TN2370;547;578;129;0;;;;;;;;;MARCELO;20-12-2021;16398;Guiomar Moreira;0;comodato;;
C-4701;01-11-2021;TN3392;540;679;138;0;0:15;;;;;;;PO6880;ADALBERTO;14-12-2021;16431;Agiliza;0;comodato;;
C-4272;02-11-2021;TN3492;747;747;0;0;0:05;;;;;;;JLT;ADALBERTO;16-03-2022;15444;Seprev;0;comodato;;
C-2839;02-11-2021;TN3392;610;610;0;0;0:15;;;;;;;LIMPEZA;ADALBERTO;;;;;;;
C-2881;02-11-2021;280X;907;1028;200;30;0:41;X;X;;X;;X;;MARCELO;;;;;;;
C-4796;02-11-2021;280X;894;1089;333;37;0:10;X;;;;;X;;MARCELO;;;;;;;
C-2619;04-11-2021;280X;1070;1070;0;0;0:12;X;;;;;X;U.R;MARCELO;03-02-2022;16257;Mundial ;0;comodato;;
C-3765;04-11-2021;280X;884;1148;329;33;0:10;;;;;;X;LIMPEZA;MARCELO;03-02-20222;16257;Mundial ;0;comodato;;
C-4140;04-11-2021;280X;793;1023;332;51;0:10;;X;X;;;X;;MARCELO;23-11-2021;15955;Segmed;0;comodato;;
C-2599;04-11-2021;280X;737;1041;333;48;0:10;;X;;;;X;;MARCELO;24-11-2021;16257;Mundial;0;comodato;;
C-4663;04-11-2021;280X;708;1058;336;38;0:10;X;;;;;X;;MARCELO;19-11-2021;15716;Macripar B;0;comodato;;
C-3595;04-11-2021;280X;1030;1030;0;0;0:10;X;;;;;X;;MARCELO;;;;;;;
C-2568;04-11-2021;280X;847;1013;330;39;0:10;X;;;;X;X;;MARCELO;02-12-2021;15779;Bavaria;0;comodato;;
C-4654;04-11-2021;280X;719;1034;336;42;0:10;;;;;;X;LIMPEZA;MARCELO;18-11-2021;16100;Dialli;0;comodato;;
